CVE_ENT,CVE_MUN,CVE_LOC,NOMGEO
20,207,0006,La Mixtequita
20,207,0088,La Soledad
20,207,0025,San José de los Reyes el Pípila
20,207,0030,La Esperanza
20,207,0049,Tierra Nueva
20,207,0050,Lázaro Cárdenas
20,207,0079,La Palestina
20,207,0024,12 de Julio
30,091,0085,Juan de la Luz Enríquez
20,206,0008,Ciénega
20,206,0009,Barrio Santiago
20,234,0013,Peña Blanca
20,351,0002,Río Anona
20,351,0008,La Estancia
20,351,0010,Barrio Oriente
20,534,0003,San Isidro la Cañada
20,015,0004,Las Salinas
20,061,0007,Los Pocitos Monjas
20,289,0003,Bramaderos San Nicolás
20,059,0108,Parada San Antonio
20,059,0011,San Felipe Yegachín
20,059,0100,La Labor del Rosario
20,325,0023,La Mancornada
20,012,0026,El Alacrán
20,525,0005,Huanacastal
20,399,0008,La Cañada
20,399,0029,Perla de Antequera
20,387,0002,La Barda Paso de Piedras
20,301,0002,Colonia Guadalupe
20,397,0048,Los Ángeles
20,469,0018,La Brama Paraje Pérez
20,469,0009,Concepción Carrizal
20,037,0020,La Soledad
20,045,0008,Ex-Hacienda Catano [Fraccionamiento]
20,045,0003,San Isidro Catano
20,102,0003,San Isidro
20,409,0002,Güendulain
20,549,0009,San Isidro Zaragoza
20,308,0006,Colonia San Diego
20,028,0020,El Saúz
20,509,0015,Piedra del Sol
20,188,0020,La Soledad
20,403,0012,Paraje Campo Lucero
20,403,0003,Paraje Loma de Lucero
20,073,0116,El Carrizal de Galeana
20,452,0003,San Sebastián Ocotlán
20,494,0066,Santiago Huaxolotipac
20,244,0013,Inspectoría Independencia Guadalupe
20,397,0013,Llano de Guadalupe
20,404,0002,San Agustín Montelobos
20,176,0003,Estancia
20,266,0121,Santa Catarina Jamixtepec
20,460,0004,San Juan del Río
20,190,0168,Arroyo Venado
20,068,0003,La Chilaíta
20,481,0007,Yucubey de Cuitláhuac
20,330,0012,Santo Domingo del Río
20,494,0002,El Portezuelo
20,274,0005,Río Minas
20,027,0003,La Concepción
20,141,0075,Colonia 12 de Abril
20,141,0085,Colonia Villanueva
20,141,0100,El Vergel del Maíz
20,141,0101,Primera Sección
20,141,0099,Santa Rita
20,141,0106,Puerto Grande
20,339,0027,Santo Domingo Tlachitongo
20,130,0002,Huamúchil
20,143,0063,Cachimbo
20,011,0002,San Antonio o las Mesas
20,318,0010,La Reforma
20,526,0032,Cañada de los Matus
20,277,0035,San Sebastián de las Grutas
20,039,0065,Saucitlán de Morelos
20,455,0003,Santa Catarina Estancia
20,184,0039,El Paraíso Zacatal
20,403,0008,Proyecto 2000 [Fraccionamiento]
20,214,0002,Maninaltepec
20,338,0006,Moctezuma [Colonia]
20,338,0003,Santo Domingo Barrio Alto
20,057,0019,El Paguital
20,417,0063,El Manantial
20,044,0009,Desparramadero
20,166,0010,Cerro Flores
20,166,0017,Leyes de Reforma
20,232,0019,Cerro de Oro
20,278,0006,La Candelaria
20,278,0020,Las Margaritas
20,484,0005,Santa Ana Rayón
20,554,0002,Chinantequilla
20,207,0081,Los Raudales
20,207,0010,San José de las Flores
20,210,0008,San Pedro Ñumí
20,325,0021,El Porvenir
20,397,0109,San Pedro Yosotatu
20,133,0007,Ndoyonoyuji (Ciénega de Flores Amarillas)
20,414,0009,Santa María Chicometepec
20,364,0022,Santa María Yolotepec
20,198,0110,Arroyo Lirio
20,336,0016,San Martín Buenavista
20,469,0106,Laguna Guadalupe Yucunicoco
20,469,0042,Tinuma de Zaragoza
20,469,0116,Santo Domingo del Progreso
20,097,0003,Santo Domingo Yojovi
20,298,0004,Unión Zapata (Loma Larga)
20,190,0002,Arroyo Carrizal
20,188,0007,Agua Fría
20,399,0028,La Cañadita
20,399,0006,La Soledad
20,399,0023,Loma de la Virgen [Paraje]
20,399,0040,La Cazahuatera
20,275,0025,Margarita Huitepec
20,520,0004,San Juan Reyes
20,039,0064,San Francisco Yosocuta
20,039,0019,San Miguel Papalutla
20,028,0018,Santa Cruz Nexila
20,016,0007,La Trinidad
20,565,0037,Ninguno
20,068,0015,San Pedro Guegorexe
20,545,0003,San Bernardino
20,206,0002,Contlalco
20,407,0008,Santa Inés
20,324,0237,San Pedro Cafetitlán
20,002,0058,Colonia Josefa Ortiz de Domínguez
20,169,0005,El Tepeyac
20,184,0042,Paso Rincón
20,028,0011,Los Ocotes
20,110,0002,Buenavista
20,133,0002,Benito Juárez
20,378,0003,San Mateo Mixtepec
20,426,0002,San José Contreras
20,426,0035,Cañada de Espina
20,426,0016,El Manzanito
20,201,0002,Las Delicias
20,114,0003,San Jerónimo Zoochina
20,381,0002,San José de la Pradera
20,570,0020,La Cumbre Clavellinas
20,033,0004,La Resurrección [Paraje]
20,033,0003,La Capellanía
20,570,0003,San Nicolás Quialana
20,397,0108,San Felipe Tindaco
20,397,0136,San José Patriarca
20,028,0017,San Matías Chilazoa
20,413,0050,Huatunalco (Barra de Huatunalco)
20,439,0120,Arroyo Tres
20,138,0002,San Miguel Cajonos
20,005,0057,Tecnológico [Barrio]
20,324,0235,Los Naranjos Esquipulas
20,453,0011,Barra de la Cruz
20,453,0012,Zimatán
20,278,0095,Loma Coyol San Martín
20,399,0002,Montealbán
20,023,0010,Manzano
20,277,0031,San Cristóbal
20,526,0101,San Isidro Campechero
20,105,0007,San Isidro Monteverde
20,401,0099,Nuevo Amanecer San Jacinto [Colonia]
20,052,0033,Lázaro Cárdenas
07,009,0046,La Gloria
20,098,0027,Guadalupe (Barrio Guadalupe)
20,517,0009,Loma Larga
20,031,0007,Tierra Blanca
20,178,0004,San Miguel Etla
20,565,0015,San Pedro la Reforma
20,023,0034,Lomas de San Juan
20,023,0038,Paraje Zavaleta
20,385,0046,Los Puentes Cuaches
20,385,0008,San Isidro Monjas
20,291,0005,Comitlán
20,059,0115,Sitio de Lachidoblas
20,154,0003,La Reforma
20,059,0012,San Guillermo
20,059,0046,La Estancia
20,059,0041,El Zompantle
20,398,0002,Guegovela
20,392,0016,Moctezuma
20,133,0004,Mier y Terán
20,358,0004,Rincón de Tlapacoyan
20,570,0011,Valdeflores
20,271,0003,Barranca Fierro
20,351,0011,La Labor
20,310,0003,Buena Vista
20,310,0018,Colonia Tlacaelel
20,310,0033,Jazmines
20,310,0014,José Guadalupe Martínez García
20,310,0017,Las Razas
20,310,0049,Colonia Ojo de Agua
20,310,0050,25 de Mayo
20,310,0051,Los Sabinos
20,310,0048,Los Mangales [Colonia]
20,310,0047,Clara Córdoba Morán
20,310,0052,Loma de la Hacienda (Paraje el Terrero)
20,310,0015,Juquilita
20,310,0046,Wenceslao Victoria Soto
20,023,0041,Los Huertos [Colonia]
20,570,0096,San José Guelatová de Díaz
20,515,0051,Colonia San Luis
20,383,0002,La Estancia
20,072,0005,El Porvenir
20,127,0003,Cabeza del Río
20,310,0013,Arboleda
20,310,0005,La Loma (Loma Grande)
20,310,0009,Loma Bonita [Colonia]
20,310,0010,El Vergel
20,310,0002,Rancho de los Audelo
20,439,0060,La Culebra [Barrio]
20,115,0012,La Colorada [Paraje]
20,174,0003,El Zapotillo
20,121,0006,La Unión Reforma
20,031,0008,Tierra Caliente
20,265,0035,Benito Juárez (El Trébol)
20,324,0230,El Paraíso
20,468,0013,Plan Mata de Caña
20,468,0014,Playa Limón
20,468,0012,Plan Martín Chino
20,559,0069,La Trinidad (Hondura de Nanche)
20,009,0013,San José Mano Marqués
20,009,0012,Plan Juan Martínez
20,166,0004,Arroyo Frijol
20,166,0068,Roberto Olivares Arellano
20,166,0015,La Guadalupe
20,057,0210,Barrio Nuevo
20,277,0016,Nachihuí
20,324,0037,Xonene
20,324,0084,Playa Zipolite
20,509,0017,Bajos de Santo Domingo
20,509,0013,Las Pilas
20,043,0152,Colonia San Isidro
20,043,0153,Colonia San Vicente
20,043,0025,Playa San Vicente
20,262,0003,Llano Grande
20,516,0004,El Hoyo
20,566,0008,El Sabino
20,039,0055,San Sebastián Progreso
20,039,0012,La Junta
20,165,0003,San Rafael
20,340,0003,San Francisco Huapanapan
20,386,0008,El Cucharal
20,044,0022,Santa Sofía Monte Rosa
20,044,0068,Santa Sofía Río Playa
20,205,0018,San José Río Manzo
20,205,0011,Monte Negro
20,016,0018,Lázaro Cárdenas
20,073,0119,San Jorge Río Frijol
20,073,0124,Llano de Aguacate
20,073,0120,San Miguel Copala
20,208,0083,Mesón de Guadalupe
20,208,0009,Mesón de Guadalupe Primera Sección
20,515,0114,Santa María Nativitas Coatlán
20,036,0017,El Porvenir
20,277,0068,El Carrizal
20,507,0016,Lagunillas
20,421,0003,Kilómetro 10 Nizzapipi (San Antonio)
20,079,0030,Colonia la Brecha
20,485,0009,San Isidro
20,347,0002,Cieneguilla
20,010,0067,San Isidro
20,553,0024,Santa Catalina de Sena
20,318,0005,San Andrés Copala
20,420,0010,Loma Larga
20,420,0009,Rincón Hacienda Vieja
20,429,0004,Santa Rosa Matagallinas
20,261,0022,Guadalupe Villahermosa
20,230,0003,San Jerónimo Nuchita
20,397,0105,Mexicalcingo de los Granados
20,063,0002,Lomas de Nazareno
20,227,0002,Guadalupe Hidalgo
20,365,0002,Benito Juárez
20,378,0002,Emiliano Zapata
20,555,0003,Santa María Roaló
20,123,0003,San Jerónimo Tititlán
20,388,0005,La Lobera
20,388,0002,El Carmen
20,570,0002,La Raya
20,262,0002,Cuajimoloyas
20,491,0003,El Frijol
13,016,0024,Las Puentes
21,071,0017,Mesa de Capulines
21,156,0100,Colonia Guadalupe
21,114,0405,Conjunto Campestre Haras
21,083,0062,Almeya
21,069,0022,Soledad Morelos
21,174,0045,Sección 23
21,047,0026,Centeocala
20,545,0004,Vigastepec
21,082,0007,Santa Cecilia Clavijero
21,085,0009,San José las Bocas
21,085,0010,San Pedro Calantla
21,015,0055,Haras Ciudad Ecológica
21,153,0008,Santa Cruz Ajajalpan
21,034,0020,Curitiba
21,157,0007,Los Hornos de Zaragoza
21,212,0027,El Tepeyac
21,099,0010,Llano Grande Ixtapa
21,051,0025,San Miguel Tecolacio
21,085,0032,San Martín la Flor (La Flor Colorada)
21,123,0007,Pachoc
21,185,0002,Santo Domingo Ayotlicha
21,019,0052,La Sabana (San Juan la Sabana)
21,008,0008,Tenejaque
21,152,0015,Colonia Benito Juárez
20,340,0006,San Miguel Ixtápam
21,155,0007,Quicayán
21,015,0094,Edgardo Amilcar Campos [Colonia]
21,065,0009,San José Buenavista
12,070,0006,Xihuitlipa
29,004,0006,La Garita
21,166,0021,El Paraíso
21,166,0015,El Pedregal
21,071,0011,Cuautlita
21,098,0005,San Luis Tehuizotla
21,177,0021,Tecaltzingo
21,070,0031,Álvaro Obregón (Barranca San Miguel)
21,211,0004,San José Buenavista
21,212,0021,Rosa de Castilla
21,008,0006,Laguna Seca
21,166,0010,Xoyatla
21,070,0011,Tepanacitla (Guadalupe Tepanacitla)
21,074,0071,Los Volcanes
21,141,0006,San José Agua Zarca
21,208,0009,Cuacuila
21,093,0023,San Isidro
21,049,0014,San Lorenzo Tlaxipehuala
21,071,0021,Papatlatla
21,113,0014,Loma Bonita
21,010,0038,Moyotepec
21,213,0013,Ocomantla
21,036,0016,Xocotla
16,031,0014,Molinos de Caballero
11,006,0010,El Durazno
22,002,0245,La Tinaja
22,007,0286,Cadereyta [Parque Industrial]
22,007,0002,Barreras
22,008,0035,Las Taponas
22,004,0127,Villa Nueva
22,004,0013,Boxasní
22,017,0204,Real del Ciervo [Fraccionamiento Campestre]
22,006,0027,Purísima de San Rafael
22,005,0057,Viborillas
22,008,0157,PyME [Parque Industrial]
22,014,0078,Pinto
22,008,0135,La Ceja
11,034,0021,Ortega
11,003,0121,El Herrero
22,007,0265,Piedras Negras
22,007,0033,San Antonio
22,016,0036,El Mirador
23,002,0108,Noh-Bec
11,043,0007,Álamos de Martínez
24,009,0006,Joyita de la Cruz
24,014,0077,Plan de los Jobos Segunda Sección
24,007,0006,La Boquilla
32,007,0011,Los Encinos
32,038,0019,Colonia Belisario Domínguez (Las Güeritas)
24,032,0077,Enramadas
25,010,1398,La Arrocera
25,010,0625,Téroque Viejo
25,010,0227,La Genoveva
25,017,1522,El Amapal
25,015,0003,Álamo de los Montoya
25,014,0057,El Tablón Número Dos
25,014,0435,Tablón Viejo
25,006,0330,La Estancia de Abajo
25,008,0409,Colonia Buenos Aires
25,001,0703,Cinco de Mayo
25,017,0216,La Presita
25,017,0244,Ruiz Cortines Número Tres
25,017,0638,Alfredo V. Bonfil (Siete Ejidos)
25,017,1450,Colonia 6 de Mayo
25,017,0511,Sanaria
25,017,0552,El Macapule
25,003,0845,Jurisdicción de Arriba
25,003,0856,San Nicolás del Sitio (Sitio de Arriba)
25,003,0743,La Majada de Arriba
25,015,0008,Caitime
25,015,0043,Terrero de los Guerrero
25,018,0523,Constituyentes de Sinaloa
25,002,0044,Estación Acatita
25,013,0019,Alhueycito
25,011,0291,El Zopilote
25,013,0179,Mazate de los Sánchez
25,013,0132,Higuera de los Vega
25,015,0006,Las Cabezas
25,006,1684,La Platanera (El Pizal)
25,006,3141,Bachigualatito
26,043,0485,Campestre el Potrero
02,002,0258,Ejido Plan de Ayala
07,074,0014,Macayo 3ra. Sección
27,014,0054,Chiltepec (Sección Pénjamo)
27,006,0017,Cumuapa 1ra. Sección
27,006,0055,Reforma
27,004,0152,Plátano y Cacao 2da. Sección (La Isla)
27,004,0150,Plátano y Cacao 4ta. Sección
07,068,0102,Platanar Abajo 2da. Sección (Unidad Chiapaneca)
27,002,0160,Benito Juárez (La Playita)
27,009,0010,Chichonal 1ra. Sección
27,004,0035,Anacleto Canabal 3ra. Sección
27,004,0286,Alvarado Santa Irene 2da. Sección (El Taizal)
27,015,0100,División del Norte
07,065,0064,Lindavista (Chiniquijá)
27,001,0044,Mactún
24,010,0062,Colonia Agrícola Ollitas de las Vacas
29,040,0004,La Ascensión Huitzcolotepec
21,083,0059,Minillas (La Garita)
30,073,0090,Nacaxtlito
30,009,0183,Yerbabuena
30,012,0019,Los Pinos (Buena Esperanza)
30,044,0052,San José de Tapia
30,126,0138,Yucatán
30,014,0035,Ignacio Zaragoza
30,010,0118,Colonia el Establo
30,079,0011,Caltzontepec
30,087,0124,La Haciendita
30,093,0007,El Pueblito (Garbanzal)
30,058,0010,Ahuimol Tzimpiasco
30,058,0306,Tecuapa
30,058,0339,Lindero Achupil
30,083,0024,Huexotitla
30,105,0049,Paso Colorado
30,124,0018,Caristay
30,087,0157,Humberto Aguirre Cruz
30,111,0011,Nuevo Teapa
30,206,0050,Democracia y Libertad
30,051,0014,San Marcos
30,051,0007,La Lima
30,014,0051,Colonia San Francisco
30,080,0024,Matlaquiáhuitl
30,054,0003,Arroyo del Soldado (Arroyo del Obispo)
30,084,0062,Las Cuatas
30,066,0009,El Ermitaño
30,196,0017,Los Mangos
30,045,0395,El Cerrito
13,025,0040,Tecoluco Calpan
13,028,0220,Charco Azul
13,028,0035,Cruztitla
13,046,0016,Cuamecaco
13,025,0028,La Mesa
30,035,0007,El Crucero
30,063,0048,Tamalcuatitla
30,112,0094,Fraccionamiento de los 4 Soles
30,087,0158,La Cúspide
30,044,0117,Santa Teresita (Segunda Manzana del Barreal)
30,044,0217,Los Lienzos
30,044,0118,La Palma (Tercera Manzana del Barreal)
30,141,0174,Vista Hermosa II
30,105,0030,Ixcoalco
20,057,0009,Colonia Gabriel Ramos Millán
30,101,0007,Loma Grande
30,105,0040,Mata Ortiz
30,187,0006,Piedras Grandes
30,061,1269,Cuauhtémoc Km. 17
30,082,0054,El Túnel
30,166,0012,Vicente Guerrero (Tepetates)
30,066,0022,Poza Larga Zapotal
30,069,0005,Carrillo Puerto (Santa Rosa)
30,069,0019,Paguas de Coronado
30,131,0022,Cerro del Mesón
30,100,0059,Curva del Paso Real
30,148,0080,Puerta de Mata Anona
30,101,0046,La Loma
30,055,0029,Zapotitla
30,210,0121,Rafael Murillo Vidal
30,074,0002,Donato Guerra
30,205,0072,Cuve de los Marcos
30,010,0047,Colonia Ejidal Guadalupe Victoria
30,116,0023,Ojapa
30,144,0132,San Antonio
20,021,0003,Colonia Agrícola Miguel Hidalgo
30,157,0059,Ignacio Zaragoza
30,032,0084,Perla de San Martín
30,141,0036,Francisco I. Madero
30,006,0003,Aguachinola
30,006,0017,Tecamalucan
30,020,0039,Terrero
30,020,0002,Acultzinapa (San Miguelito)
30,115,0019,Taza de Agua Ojo Zarco
30,124,0110,Tenixtepec
30,087,0027,Xoloxtla
30,019,0007,Choapa
30,180,0022,La Pahua
30,080,0005,Ixcapantla
30,105,0299,Colonia Clara Córdoba Morán
30,010,0015,Lerdo de Tejada
20,407,0064,Dos Arroyos (La Paz)
20,205,0066,José López Portillo
11,016,0017,Paso de Carretas
11,039,0081,El Fénix
11,009,0167,Viñedos de San Miguel [Fraccionamiento]
11,014,0729,La Luz
11,004,0038,Marroquín
11,005,0313,El Grande [Parque Industrial]
11,009,0012,Guadalupe (San Antonio de Guadalupe)
11,011,0050,Santa Fe de la Purísima
11,044,0206,El Tajo del Parral (Tenería de Valdez)
11,019,0073,El Rosario
16,031,0075,Fracción Salitrillo [Ejido Nuevo Coroneo]
11,032,0152,Fátima
11,033,0433,La Laguna
11,029,0083,Ranchito de los Hernández
11,001,0040,Las Estacas
11,015,0261,Cerrito Frío
11,026,0424,El Tejamanil
11,027,0151,Sotelo
11,026,0446,Fraccionamiento Campestre Lomas del Sur
11,031,0050,Santa Rita (Puerta de Santa Rita)
11,031,0297,Santuario de Santa Rita [Residencial Campestre]
11,031,0028,El Lindero (El Lindero Viejo)
11,031,0049,Plan Libertador (El Quemado)
11,031,0014,El Desagüe
11,037,0227,Mangas de la Estancia
11,037,0652,Lomas del Sur
11,037,0699,Puerto Interior
11,037,0089,El Refugio de los Sauces
11,041,0061,Bugambilia
11,017,0547,El Capulín de Yóstiro
11,031,0293,Cañada de Soto
11,020,0409,Puerta del Cerro
11,031,0041,La Muralla del Cadillal
11,037,0664,La Deportiva
11,020,1384,Fraccionamiento Campestre Lomas del Sur
11,017,0154,San Juan Temascatío
11,035,0008,El Carmen de Arriba
11,042,0113,San Manuel Quiriceo
11,002,0063,San Agustín
11,002,0056,Providencia de San Agustín
11,039,0026,Panales Jamaica (Cañones)
11,014,0361,Las Yerbas
11,014,0674,Carboneras
11,022,0244,San José del Carmen Sur
11,008,0035,Charco Prieto
11,020,0424,San José del Resplandor (El Capricho)
11,020,0410,Puerta de San Germán (Morelos)
11,013,0032,Morisquillas
11,033,0394,Derramadero Segundo (Infiernillo)
22,014,0071,Ojo de Agua
22,014,0180,El Rincón de Ojo de Agua
11,043,0076,Salitrera
11,007,0078,Los Aguirre
11,028,0021,Gervacio Mendoza
11,026,0015,El Escoplo
11,020,0439,San Isidro de los Sauces
11,020,1456,Advance Puerto Interior
11,020,0529,Estación Trinidad
11,020,0682,Los Olivos (El Nuevo Paraíso)
11,002,0104,Puerto Ferrer
11,002,0012,La Concepción
11,007,0176,Santa Rosa de Lima
11,007,0423,Condominio Campestre las Huertas
11,021,0021,La Soledad
11,027,0035,Buenavista de Valtierra
11,046,0003,La Angostura
11,046,0052,Puerto del Águila
11,045,0011,San Miguel de las Casitas
11,045,0029,Puerto de Milagro
11,027,0143,Santa Catarina de Peña
11,027,0114,Godoy
11,041,0015,Lagunilla del Encinal
11,042,0069,Potrerillo de Torres
11,042,0074,Puerta de Andaracua
11,042,0007,El Borrego
11,042,0083,Rancho Viejo de Torres
11,042,0010,Cahuageo
16,054,0003,La Cruz del Niño
16,071,0054,Santa Clara
19,040,0010,Charco Blanco
19,041,0461,American Industries Apodaca [Parque Industrial]
19,010,0113,Emiliano Zapata
19,004,0050,Atongo de Abajo (Atongo Allende)
19,042,0294,El Ayancual [Deportivo]
19,035,0050,Bicentenario
19,025,0214,Parque Tecnológico Monterrey [Parque Industrial]
19,042,0074,San Benito
05,030,0210,San José del Alamito
05,004,0007,Artesillas
05,004,0082,El Poleo
19,009,0125,San Juan de los Garza (San Juanito)
19,009,0144,El Saucito (El Sauz)
19,038,0016,El Alto
05,006,0044,Presa de Chaires
05,006,0273,Espinazo
19,012,0226,Campestre la Fortuna
19,001,0046,Colinas del Fraile
19,009,0665,Misión Antigua
19,009,0145,La Senda
19,040,0008,Cinco de Mayo
