CVE_ENT,CVE_MUN,CVE_LOC,CVE_AGEB,NOM_LOC,CVE_ENT_1,CVE_MUN_1,NOM_MUN
12,076,0139,0020,Laguna Seca,12,063,Tlacoapa
07,059,2981,0245,La Flor de Getzemaní,07,031,Chilón
12,076,0052,0020,Loma Maguey,12,063,Tlacoapa
20,397,0110,0089,Santo Domingo Huendío,20,050,Magdalena Peñasco
12,076,0138,0020,Colonia Piedra Conejo,12,072,Zapotitlán Tablas
12,076,0118,0020,Plan del Guayabo,12,072,Zapotitlán Tablas
12,076,0048,0020,El Capulín,12,063,Tlacoapa
07,047,0153,0032,El Sumidero (Campo Alegre),07,014,El Bosque
12,063,0050,0164,La Magueyera,12,041,Malinaltepec
12,076,0116,0020,Loma del Ocote Dos,12,063,Tlacoapa
12,076,0120,0020,Barranca Honda,12,063,Tlacoapa
12,076,0114,0020,Filo de Arena,12,063,Tlacoapa
12,076,0056,0020,Zilacayota,12,063,Tlacoapa
20,207,0049,0071,Tierra Nueva,20,057,Matías Romero Avendaño
07,013,0007,002A,Allende Esquipulas,07,047,Jitotol
12,011,0342,0257,Cerro Azul (Puerto los Pinos),12,021,Coyuca de Benítez
20,469,0116,0022,Santo Domingo del Progreso,20,208,San Juan Mixtepec
20,207,0050,0086,Lázaro Cárdenas,20,057,Matías Romero Avendaño
07,081,0364,0049,Guadalupe Victoria I,07,014,El Bosque
12,076,0072,0020,Tierra Colorada,12,072,Zapotitlán Tablas
07,081,0309,0049,El Sabinal,07,014,El Bosque
20,207,0088,0086,La Soledad,20,057,Matías Romero Avendaño
20,198,0110,0028,Arroyo Lirio,20,207,San Juan Mazatlán
12,011,0166,0280,Los Cimientos (Las Minas),12,057,Técpan de Galeana
12,041,0156,0222,Filo del Gavilán (Barranca de los Muertos),12,020,Copanatoyac
20,207,0079,0086,La Palestina,20,057,Matías Romero Avendaño
12,041,0075,0222,Xkua Xtuti,12,020,Copanatoyac
12,041,0154,0222,Cerro Tlalixtatepec,12,020,Copanatoyac
12,076,0096,0020,Colonia Ocote Capulín,12,072,Zapotitlán Tablas
20,198,0112,0028,Nuevo Brena Torres,20,057,Matías Romero Avendaño
12,041,0124,0222,San Juan de las Nieves,12,020,Copanatoyac
12,010,0105,0141,Luis Donaldo Colosio Murrieta,12,072,Zapotitlán Tablas
20,198,0025,0028,Brena Torres,20,207,San Juan Mazatlán
12,004,0014,0125,Petlacalancingo,12,069,Xalpatláhuac
20,189,0004,0029,San Isidro Tres Arroyos,20,460,Santiago Choápam
12,011,0311,0257,Las Tunas,12,021,Coyuca de Benítez
12,079,0065,0022,Tonalteme,12,028,Chilapa de Álvarez
07,081,0301,0034,Río Blanco,07,066,Pantelhó
07,081,0311,0034,Tepeyac,07,066,Pantelhó
07,013,0124,002A,San José Mujular,07,073,Rayón
20,207,0024,0029,12 de Julio,20,057,Matías Romero Avendaño
12,011,0238,0261,Ejido el Tambor,12,032,General Heliodoro Castillo
07,118,0003,0021,Jotolchén,07,081,Simojovel
12,009,0004,0047,Cuautipan,12,069,Xalpatláhuac
07,081,0271,002A,Jotolchén Dos (Planada Naranjal),07,118,San Andrés Duraznal
12,011,0303,0261,La Granada,12,032,General Heliodoro Castillo
20,201,0002,0010,Las Delicias,20,280,Villa Talea de Castro
20,207,0030,0029,La Esperanza,20,057,Matías Romero Avendaño
12,010,0108,0137,Vicente Guerrero,12,072,Zapotitlán Tablas
20,156,0009,0028,Analco (Barrio de Villa Alta),20,128,San Cristóbal Lachirioag
20,198,0117,0136,Plan de San Luis,20,057,Matías Romero Avendaño
12,066,0098,0255,San Miguelito,12,069,Xalpatláhuac
12,020,0058,0082,Crucero de Santa Cruz,12,069,Xalpatláhuac
12,072,0121,0271,El Rincón,12,010,Atlixtac
07,033,0029,0037,Paraíso,07,092,Tecpatán
12,072,0064,0271,Llano Pericón,12,010,Atlixtac
12,048,0719,0647,El Aguacate,12,057,Técpan de Galeana
20,190,0168,0142,Arroyo Venado,20,205,San Juan Lalana
07,039,0048,0045,El Ocotal,07,081,Simojovel
20,339,0027,0028,Santo Domingo Tlachitongo,20,140,San Francisco Chindúa
07,033,0004,0037,Azapac Amatal,07,092,Tecpatán
12,057,0597,0754,El Mirador,12,048,Petatlán
12,044,0053,021A,La Villita,12,061,Tixtla de Guerrero
12,028,0208,0324,Buena Vista de las Pilas,12,079,José Joaquín de Herrera
20,198,0113,0028,Colonia Istmeña el Zapote,20,057,Matías Romero Avendaño
12,032,0315,0350,Corralitos (El Banco de Grava),12,054,San Miguel Totolapan
12,029,0097,0779,Colonia General Heliodoro Castillo (Chicahuales),12,032,General Heliodoro Castillo
12,069,0021,0172,El Mezquite,12,066,Tlapa de Comonfort
20,207,0081,0029,Los Raudales,20,190,San Juan Cotzocón
12,004,0003,0093,Ahuejutla,12,069,Xalpatláhuac
12,029,0448,0779,Las Canoitas,12,032,General Heliodoro Castillo
12,048,0661,0609,La Colorada (El Callejón de la Colorada),12,038,Zihuatanejo de Azueta
12,048,0480,0609,Rancho la Teltes,12,038,Zihuatanejo de Azueta
12,061,0040,0225,Chalico (Rancho Chalico),12,029,Chilpancingo de los Bravo
07,100,0063,0046,Arroyo Agua Azul,07,031,Chilón
12,003,0243,0518,Puerto de la Sangrinaria,12,057,Técpan de Galeana
12,003,0255,0518,La Sanguinaria,12,057,Técpan de Galeana
20,458,0029,0014,La Chuparrosa (Luvina Vieja),20,296,San Pablo Macuiltianguis
07,076,0127,002A,San Juan el Mirador,07,039,Huitiupán
12,057,0530,0561,San Isidro el Venado,12,048,Petatlán
30,210,0121,0117,Rafael Murillo Vidal,30,108,Minatitlán
20,404,0010,0013,Río Chiquito,20,523,Santo Domingo Yanhuitlán
12,075,0105,0447,Azteca,12,029,Chilpancingo de los Bravo
12,057,0538,0561,El Nogal,12,048,Petatlán
20,336,0021,0011,El Carrizal,20,001,Abejones
12,010,0103,0118,Vista Hermosa,12,066,Tlapa de Comonfort
12,074,0034,0238,Totola,12,028,Chilapa de Álvarez
20,259,0007,0010,Ñihuichi,20,183,San Juan Bautista Tlachichilco
12,032,0401,0350,Las Palomas,12,040,Leonardo Bravo
12,022,0602,0710,Santa Clara (Santa Clara del Cobre),12,003,Ajuchitlán del Progreso
12,024,0087,0151,Rancho el Terrero,12,066,Tlapa de Comonfort
12,022,0713,0763,Corralitos,12,048,Petatlán
12,022,0717,0763,El Soyamiche,12,048,Petatlán
12,022,0473,0710,Los Bayados,12,003,Ajuchitlán del Progreso
12,040,0328,0263,Los Paredones,12,075,Eduardo Neri
12,048,0726,0558,Los Lirios,12,022,Coyuca de Catalán
12,022,0716,0763,La Patacua,12,048,Petatlán
12,022,0063,0710,Las Palancas,12,003,Ajuchitlán del Progreso
20,214,0012,0023,Santiago Cuasimulco,20,336,San Pedro Yólox
12,045,0272,0310,Rufino Abarca,12,024,Cualác
12,045,0137,0310,Rancho Ismael Patrón,12,024,Cualác
12,048,0209,0505,El Zacatonal,12,038,Zihuatanejo de Azueta
20,039,0064,0074,San Francisco Yosocuta,20,237,San Marcos Arteaga
20,261,0022,0019,Guadalupe Villahermosa,20,529,Santos Reyes Yucuná
12,002,0182,0173,Naranjastitlán,12,045,Olinalá
12,022,0461,0763,Barranca del Sereno,12,048,Petatlán
20,290,0006,0010,San Pedro Salinas,20,034,Guadalupe de Ramírez
20,039,0065,0074,Saucitlán de Morelos,20,160,San Jerónimo Silacayoapilla
12,003,0160,0452,El Zapotal,12,054,San Miguel Totolapan
12,054,0094,0324,Piedras Grandes,12,032,General Heliodoro Castillo
12,048,0722,0469,Los Renovales,12,038,Zihuatanejo de Azueta
12,054,0340,0324,Las Trancas,12,032,General Heliodoro Castillo
12,045,0114,0293,El Crucero Tecosajca,12,002,Ahuacuotzingo
12,045,0208,0306,Cerro de las Campanas,12,024,Cualác
12,003,0195,0452,Pinzanal,12,054,San Miguel Totolapan
12,003,0007,0452,Barranca Honda,12,054,San Miguel Totolapan
20,039,0055,0089,San Sebastián Progreso,20,462,Santiago Huajolotitlán
20,009,0012,0022,Plan Juan Martínez,20,417,Santa María Jacatepec
12,022,0732,0763,La Fronterita,12,048,Petatlán
12,002,0157,014A,La Lobera,12,045,Olinalá
12,045,0205,026A,Las Anonas,12,002,Ahuacuotzingo
07,068,0102,0028,Platanar Abajo 2da. Sección (Unidad Chiapaneca),27,008,Huimanguillo
20,009,0013,0022,San José Mano Marqués,20,417,Santa María Jacatepec
12,019,0080,0113,El Guaje (El Portezuelo),12,002,Ahuacuotzingo
12,019,0057,0113,Zacualpa,12,045,Olinalá
12,045,0234,026A,Rancho Antonino García,12,002,Ahuacuotzingo
12,019,0029,0113,El Tamarindo,12,045,Olinalá
07,016,0299,0110,Cuauhtemoc Quemado,07,065,Palenque
12,019,0022,0113,Ciruelo Amarillo,12,045,Olinalá
12,006,0082,0257,Las Garzas,12,032,General Heliodoro Castillo
20,330,0010,0018,San José Despoblado,20,098,San Andrés Teotilálpam
12,006,0070,0276,Pueblo Nuevo Santa María,12,026,Cuetzala del Progreso
12,022,0707,0509,El Zarzal,12,038,Zihuatanejo de Azueta
12,068,0158,0476,El Ampotal,12,016,Coahuayutla de José María Izazaga
12,068,0317,0476,El Capire,12,016,Coahuayutla de José María Izazaga
12,068,0320,0476,Rancho la Higuerita,12,016,Coahuayutla de José María Izazaga
12,032,0338,0346,Monte Grande,12,006,Apaxtla
20,166,0068,0024,Roberto Olivares Arellano,20,417,Santa María Jacatepec
12,038,0242,0369,Mesas de Miramar,12,022,Coyuca de Catalán
12,038,0310,0369,El Pitero,12,022,Coyuca de Catalán
20,417,0063,0011,El Manantial,20,184,San Juan Bautista Tuxtepec
12,059,0098,0316,Tequitlalpan,12,034,Huitzuco de los Figueroa
20,098,0021,0022,Piedra Colorada,20,330,San Pedro Teutila
20,098,0016,0022,Aguacate,20,330,San Pedro Teutila
12,006,0056,0257,El Calguaje,12,054,San Miguel Totolapan
20,098,0018,0037,La Escalera,20,330,San Pedro Teutila
12,054,0372,0305,La Monera,12,007,Arcelia
12,003,0229,0344,Santa María Santa Fe,12,022,Coyuca de Catalán
12,019,0074,0096,El Establo,12,008,Atenango del Río
12,073,0651,0546,El Billete,12,022,Coyuca de Catalán
12,022,0571,0509,La Lagunita,12,073,Zirándaro
12,003,0008,0310,Cacahuananche,12,022,Coyuca de Catalán
20,041,0124,0034,Santa Catarina Buenavista,20,040,Huautepec
30,061,1269,0596,Cuauhtémoc Km. 17,30,111,Moloacán
12,003,0198,033A,San Marcos Oriente,12,054,San Miguel Totolapan
12,073,0698,0550,Rancho de Dolores,12,022,Coyuca de Catalán
12,003,0228,0310,Palos Grandes,12,022,Coyuca de Catalán
12,054,0315,0292,El Crucero del Remance,12,003,Ajuchitlán del Progreso
12,073,0367,0550,Paso Ancho,12,022,Coyuca de Catalán
20,244,0013,0018,Inspectoría Independencia Guadalupe,20,109,San Antonio Nanahuatípam
12,006,0085,0219,Pata de Burro,12,058,Teloloapan
12,058,0232,0465,La Cañada del Durazno,12,006,Apaxtla
20,406,0090,0041,La Raya,20,041,Huautla de Jiménez
20,406,0038,0041,Zongolica,20,041,Huautla de Jiménez
12,035,0037,0649,El Tercer Mundo,12,059,Tepecoacuilco de Trujano
12,073,0722,0508,La Guajillera,12,022,Coyuca de Catalán
12,058,0237,0408,Puerto del Timón,12,007,Arcelia
12,035,0197,0598,Colonia Ernesto Che Guevara (La Che Guevara),12,058,Teloloapan
12,073,0653,0508,Las Juntas,12,022,Coyuca de Catalán
30,141,0174,0137,Vista Hermosa II,30,073,Hueyapan de Ocampo
12,058,0297,0412,Miahuatepec,12,007,Arcelia
12,058,0264,0412,Primera Cerca,12,031,General Canuto A. Neri
12,008,0041,0143,San Juan Teocalcingo,12,034,Huitzuco de los Figueroa
12,050,0011,019A,Placeritos,12,027,Cutzamala de Pinzón
12,035,0005,0598,Colonia el Carmen,12,055,Taxco de Alarcón
12,015,0031,0097,Los Sauces,12,034,Huitzuco de los Figueroa
12,047,0003,0194,Agua Colorada,12,058,Teloloapan
12,015,0046,0097,Las Enramadas,12,034,Huitzuco de los Figueroa
12,058,0142,0380,Puerto del Ocote,12,031,General Canuto A. Neri
12,058,0324,0380,Nueva Esperanza,12,031,General Canuto A. Neri
12,008,0039,0143,Agua Salada,12,034,Huitzuco de los Figueroa
12,008,0040,0143,Las Joyas,12,034,Huitzuco de los Figueroa
12,055,0147,0406,La Güera,12,015,Buenavista de Cuéllar
12,055,0135,0340,El Ancón,12,037,Ixcateopan de Cuauhtémoc
12,055,0078,0340,Los Naranjos,12,037,Ixcateopan de Cuauhtémoc
12,055,0203,0355,San Francisco,12,060,Tetipac
12,055,0204,036A,El Huixteco,12,060,Tetipac
12,049,0048,0165,La Poza (El Puente),12,055,Taxco de Alarcón
30,171,0004,0013,Atzingo,30,110,Mixtla de Altamirano
12,060,0034,0162,Bordo Mora,12,049,Pilcaya
17,026,0059,0036,Colonia el Partidor (El Capulín),17,029,Yautepec
17,026,0008,0036,Las Vivianas,17,029,Yautepec
15,097,0051,0081,Las Lágrimas,15,086,Temascaltepec
15,078,0042,0067,Frontón Vivero,15,110,Valle de Bravo
15,087,0040,0155,Llano de la Y,15,067,Otzolotepec
15,074,0126,0195,Ejido del Tunal Nenaxi,15,048,Jocotitlán
30,009,0238,0030,Arroyo Agrio,30,004,Actopan
30,010,0047,0012,Colonia Ejidal Guadalupe Victoria,30,163,Tenochtitlán
31,056,0149,0158,Huntochac,31,079,Tekax
31,098,0039,0177,Xcobiakal (Xcobilakal),31,058,Peto
30,069,0019,0024,Paguas de Coronado,30,124,Papantla
31,094,0005,0055,Chicán,31,075,Teabo
31,092,0004,0101,Ekpedz,31,022,Chikindzonot
30,058,0339,0088,Lindero Achupil,30,027,Benito Juárez
31,081,0011,0057,X-Cocmil,31,022,Chikindzonot
31,048,0018,018A,Santa Cruz,31,055,Opichén
31,017,0083,008A,Muchucuxcáh,31,081,Tekom
31,048,0010,018A,Kanachén,31,045,Kopomá
31,014,0040,0035,X-Akabchén,31,017,Chankom
31,017,0014,0075,X-Bohom,31,043,Kaua
31,101,0013,0155,San Antonio Mulix,31,023,Chocholá
31,102,0631,0222,Bolmay,31,019,Chemax
31,076,0011,0076,Sotuta de Peón,31,050,Mérida
30,063,0048,0069,Tamalcuatitla,30,078,Ixcatepec
31,102,0655,0186,Santa Eleuteria,31,014,Cuncunul
31,030,0076,0096,Yaxché,31,091,Tinum
31,067,0046,0043,Holactún,31,074,Tahmek
31,102,0149,0171,X-Cohuó,31,019,Chemax
31,009,0003,0069,San Antonio Xiat,31,072,Suma
